City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,75.0,77,75,14.97,light rain
1,Bayan,CN,46.0833,127.4,6.28,92,0,2.82,clear sky
2,Mataura,NZ,-46.1927,168.8643,54.0,71,72,5.01,broken clouds
3,Peniche,PT,39.3558,-9.3811,60.01,87,100,24.0,overcast clouds
4,Uchaly,RU,54.2996,59.4521,-9.71,90,100,6.73,overcast clouds
5,Albany,US,42.6001,-73.9662,21.99,51,14,5.01,few clouds
6,Mandalgovi,MN,45.7625,106.2708,14.16,84,0,6.58,clear sky
7,Saskylakh,RU,71.9167,114.0833,-33.05,81,83,5.08,broken clouds
8,Sibu,MY,2.3,111.8167,78.8,89,40,1.52,light rain
9,Castro,BR,-24.7911,-50.0119,74.7,77,86,4.36,overcast clouds
10,Paris,FR,48.8534,2.3488,39.2,93,90,17.27,overcast clouds
11,Norman Wells,CA,65.282,-126.8329,-20.2,76,75,4.61,broken clouds
12,Yellowknife,CA,62.456,-114.3525,-27.99,75,20,4.61,few clouds
13,Punta Arenas,CL,-53.15,-70.9167,59.0,47,40,29.93,light rain
14,Acapulco,MX,16.8634,-99.8901,80.6,78,90,9.22,overcast clouds
15,Broome,US,42.2506,-75.833,19.0,73,90,17.27,light snow
16,Elat,IL,29.5581,34.9482,64.4,24,0,11.5,clear sky
17,Dingle,PH,10.9995,122.6711,75.67,87,97,2.24,overcast clouds
18,Paita,PE,-5.0892,-81.1144,86.0,51,0,8.05,clear sky
19,Ancud,CL,-41.8697,-73.8203,72.0,72,75,9.22,broken clouds
20,Rikitea,PF,-23.1203,-134.9692,78.3,67,10,11.25,clear sky
21,San Cristobal,VE,7.7669,-72.225,86.0,58,20,6.91,few clouds
22,Kodiak,US,57.79,-152.4072,39.2,60,20,4.61,few clouds
23,Karatuzskoye,RU,53.6072,92.8667,4.66,91,100,3.91,overcast clouds
24,Manzil Salim,TN,35.8567,8.4765,53.6,30,20,11.5,few clouds
25,Saint-Pierre,RE,-21.3393,55.4781,82.4,74,0,3.44,clear sky
26,Barrow,US,71.2906,-156.7887,5.0,78,20,21.85,snow
27,Busselton,AU,-33.65,115.3333,60.01,86,5,2.26,clear sky
28,Ponta Do Sol,PT,32.6667,-17.1,64.4,82,20,3.44,few clouds
29,Nikolskoye,RU,59.7035,30.7861,35.01,93,90,6.71,overcast clouds
30,Ushuaia,AR,-54.8,-68.3,51.8,66,75,4.61,light rain
31,Karratha,AU,-20.7377,116.8463,86.83,47,11,19.33,light rain
32,Hermanus,ZA,-34.4187,19.2345,66.99,89,12,4.0,light rain
33,Avarua,CK,-21.2078,-159.775,80.6,78,20,9.22,light rain
34,Rafraf,TN,37.1904,10.1837,59.0,67,40,19.57,scattered clouds
35,Port Alfred,ZA,-33.5906,26.891,71.01,89,53,8.99,light rain
36,Bluff,NZ,-46.6,168.3333,54.0,71,96,5.01,light rain
37,Hithadhoo,MV,-0.6,73.0833,83.01,68,66,5.57,broken clouds
38,Hobart,AU,-42.8794,147.3294,59.0,88,82,5.75,broken clouds
39,Caravelas,BR,-17.7125,-39.2481,77.13,81,33,7.72,scattered clouds
40,Mahebourg,MU,-20.4081,57.7,80.6,78,40,3.44,scattered clouds
41,Morristown,US,36.214,-83.2949,39.0,32,1,4.61,clear sky
42,Severo-Kurilsk,RU,50.6789,156.125,23.52,95,97,30.13,light snow
43,Souillac,MU,-20.5167,57.5167,80.6,78,40,3.44,scattered clouds
44,Kirkland Lake,CA,48.1446,-80.0377,-2.2,78,23,5.39,few clouds
45,Biltine,TD,14.5333,20.9167,85.95,12,75,9.71,broken clouds
46,Tiksi,RU,71.6872,128.8694,-42.68,79,35,6.06,scattered clouds
47,Vaini,TO,-21.2,-175.2,75.2,100,75,2.3,moderate rain
48,Cuamba,MZ,-14.8031,36.5372,70.27,96,100,2.08,overcast clouds
49,Chokurdakh,RU,70.6333,147.9167,-35.82,83,96,5.39,overcast clouds
50,Necochea,AR,-38.5473,-58.7368,95.0,42,0,5.01,clear sky
51,Aksu,CN,41.1231,80.2644,22.55,87,86,3.51,overcast clouds
52,Kapaa,US,22.0752,-159.319,73.4,88,75,20.71,light rain
53,Torbay,CA,47.6666,-52.7314,25.0,86,75,20.71,broken clouds
54,Taquari,BR,-29.7997,-51.8644,87.01,63,0,4.05,clear sky
55,Micheweni,TZ,-4.9667,39.8333,80.74,79,66,13.91,broken clouds
56,Vila Do Maio,CV,15.1333,-23.2167,80.6,47,70,19.57,broken clouds
57,Hwange,ZW,-18.3693,26.5019,81.41,71,25,0.25,light rain
58,Hilo,US,19.7297,-155.09,69.8,78,90,6.91,light rain
59,Chuy,UY,-33.6971,-53.4616,83.08,59,35,11.92,scattered clouds
60,Shakawe,BW,-18.3667,21.85,82.02,65,100,3.67,overcast clouds
61,Butaritari,KI,3.0707,172.7902,78.8,83,33,10.83,scattered clouds
62,Sinop,TR,41.7711,34.8709,38.75,73,0,12.17,clear sky
63,Pangnirtung,CA,66.1451,-65.7125,15.8,79,1,3.51,clear sky
64,Najran,SA,17.4924,44.1277,60.8,31,2,11.5,dust
65,Porto Belo,BR,-27.1578,-48.5531,78.8,78,75,9.4,light rain
66,Bambous Virieux,MU,-20.3428,57.7575,81.0,78,40,3.44,scattered clouds
67,Grindavik,IS,63.8424,-22.4338,30.2,74,75,29.93,broken clouds
68,Malumfashi,NG,11.7853,7.6218,83.75,14,35,13.13,scattered clouds
69,Tashtagol,RU,52.7657,87.8894,4.5,92,100,1.59,overcast clouds
70,Puerto Madryn,AR,-42.7692,-65.0385,74.64,49,9,19.39,clear sky
71,Qaanaaq,GL,77.484,-69.3632,18.16,79,100,3.44,overcast clouds
72,Kidal,ML,18.4411,1.4078,84.45,10,28,12.06,scattered clouds
73,Atuona,PF,-9.8,-139.0333,77.81,79,4,16.33,clear sky
74,Porto Novo,BJ,6.4965,2.6036,87.8,37,91,8.05,haze
75,El Prat De Llobregat,ES,41.3278,2.0947,59.0,67,20,19.57,few clouds
76,Narsaq,GL,60.9167,-46.05,28.4,31,1,16.11,clear sky
77,Cayeli,TR,41.0923,40.7292,49.17,51,42,4.94,scattered clouds
78,Xining,CN,36.6167,101.7667,23.76,64,20,1.3,few clouds
79,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.0,51,20,16.11,few clouds
80,Cabo San Lucas,MX,22.8909,-109.9124,69.8,56,75,11.5,broken clouds
81,Changping,CN,40.2186,116.2197,33.01,73,0,4.47,clear sky
82,Yarada,IN,17.65,83.2667,75.2,88,20,2.3,mist
83,Asau,RO,46.4333,26.4,41.0,59,99,3.8,overcast clouds
84,Caramay,PH,10.1815,119.236,76.93,84,23,1.9,few clouds
85,Rancho Palos Verdes,US,33.7445,-118.387,51.01,86,82,3.0,broken clouds
86,Zheleznodorozhnyy,RU,55.7503,38.0042,35.6,93,90,4.47,overcast clouds
87,Samarai,PG,-10.6167,150.6667,82.06,77,99,6.06,moderate rain
88,Acarau,BR,-2.8856,-40.12,88.2,55,42,14.54,scattered clouds
89,Amurzet,RU,47.6967,131.0981,-0.99,93,45,1.34,scattered clouds
90,Longyearbyen,SJ,78.2186,15.6401,6.8,72,0,12.66,clear sky
91,Ligayan,PH,4.6533,119.4706,82.13,76,85,4.16,overcast clouds
92,Alvor,PT,37.1299,-8.5917,60.8,82,90,19.57,overcast clouds
93,Bereda,ES,43.2686,-7.5406,53.01,92,100,14.0,overcast clouds
94,Lisala,CD,2.15,21.5167,89.46,32,98,2.21,overcast clouds
95,Nanortalik,GL,60.1432,-45.2371,25.97,88,0,5.39,clear sky
96,Sidney,AU,-33.8679,151.2073,73.4,94,0,6.91,clear sky
97,Jamestown,US,42.097,-79.2353,21.0,73,90,13.8,light snow
98,Mar Del Plata,AR,-38.0023,-57.5575,89.6,48,40,10.36,scattered clouds
99,Lebu,CL,-37.6167,-73.65,64.94,80,47,19.04,scattered clouds
100,Saint Anthony,US,45.0205,-93.218,19.4,68,90,10.36,overcast clouds
101,Oktyabrskiy,RU,54.4815,53.471,9.9,94,100,12.44,overcast clouds
102,Puerto Carreno,CO,6.189,-67.4859,93.52,42,84,12.71,broken clouds
103,Bandar,ID,2.05,99.75,73.31,94,50,1.16,scattered clouds
104,Sitka,US,57.0531,-135.33,37.4,93,90,4.61,overcast clouds
105,Luderitz,NA,-26.6481,15.1594,73.67,59,77,30.29,broken clouds
106,Ahipara,NZ,-35.1667,173.1667,60.39,83,2,7.14,clear sky
107,Lorengau,PG,-2.0226,147.2712,80.56,74,78,5.26,broken clouds
108,Phimai,TH,15.2232,102.4947,75.0,99,0,4.63,clear sky
109,Dikson,RU,73.5069,80.5464,-19.05,89,97,4.32,overcast clouds
110,Cherepovets,RU,59.1333,37.9,30.2,100,90,6.71,light intensity drizzle
111,Vila Franca Do Campo,PT,37.7167,-25.4333,66.0,94,20,11.5,few clouds
112,Hasaki,JP,35.7333,140.8333,41.0,100,75,14.97,light rain
113,Boende,CD,-0.2167,20.8667,85.32,56,98,2.35,overcast clouds
114,Russell,US,32.3502,-85.1999,54.0,37,1,5.75,clear sky
115,Vao,NC,-22.6667,167.4833,76.53,82,97,26.42,overcast clouds
116,Baicoi,RO,45.0333,25.85,42.01,87,78,0.67,broken clouds
117,Wanning,CN,18.8003,110.3967,66.72,84,1,0.47,clear sky
118,Caidian,CN,30.5833,114.0333,42.8,100,75,4.47,mist
119,San Jose,US,37.3394,-121.895,46.4,87,75,3.36,broken clouds
120,Praia,CV,14.9215,-23.5087,80.6,47,87,19.57,overcast clouds
121,Conde,BR,-7.2597,-34.9075,86.0,62,75,19.57,broken clouds
122,Thompson,CA,55.7435,-97.8558,-18.4,83,75,6.91,broken clouds
123,Khorixas,NA,-20.3667,14.9667,74.34,70,99,13.0,overcast clouds
124,Alzamay,RU,55.5562,98.6644,0.99,92,100,2.39,overcast clouds
125,Rodrigues Alves,BR,-7.738,-72.6509,82.4,78,75,3.44,light rain
126,Whitehorse,CA,60.7161,-135.0538,3.2,85,90,9.22,light snow
127,Sao Filipe,CV,14.8961,-24.4956,76.23,62,99,6.13,overcast clouds
128,Leh,IN,34.1667,77.5833,17.96,84,91,3.22,light snow
129,Yulara,AU,-25.2406,130.9889,75.2,88,90,11.5,overcast clouds
130,Yatou,CN,37.15,122.3833,35.22,93,35,5.61,scattered clouds
131,Olafsvik,IS,64.8945,-23.7142,29.07,90,21,34.02,few clouds
132,Saldanha,ZA,-33.0117,17.9442,73.4,60,5,16.11,clear sky
133,Itarema,BR,-2.9248,-39.9167,88.84,54,31,15.59,scattered clouds
134,Iqaluit,CA,63.7506,-68.5145,19.4,86,40,8.05,scattered clouds
135,Geraldton,AU,-28.7667,114.6,71.6,73,90,6.91,overcast clouds
136,Vila Velha,BR,-20.3297,-40.2925,87.01,61,40,12.66,scattered clouds
137,Victor Harbor,AU,-35.5667,138.6167,89.6,17,0,14.97,clear sky
138,Suntar,RU,62.1444,117.6319,-53.95,68,68,3.62,broken clouds
139,San Javier,ES,37.8063,-0.8374,61.0,51,0,17.27,clear sky
140,Esil,KZ,51.9556,66.4042,-20.15,86,36,5.66,scattered clouds
141,Port Elizabeth,ZA,-33.918,25.5701,71.6,83,20,37.98,light rain
142,Maicao,CO,11.3832,-72.2432,83.82,59,73,16.26,broken clouds
143,Jyvaskyla,FI,62.2415,25.7209,35.6,93,75,8.05,broken clouds
144,Uwajima,JP,33.2238,132.56,55.49,90,100,0.31,overcast clouds
145,Sur,OM,22.5667,59.5289,66.29,58,0,15.35,clear sky
146,Ambon,ID,-3.6954,128.1814,78.8,89,40,4.61,scattered clouds
147,Provideniya,RU,64.3833,-173.3,5.65,85,100,2.68,overcast clouds
148,Ghazipur,IN,25.5833,83.5667,56.68,54,0,2.75,clear sky
149,Bilibino,RU,68.0546,166.4372,-25.2,83,100,2.59,overcast clouds
150,Vestmanna,FO,62.1564,-7.1664,32.0,86,20,6.91,few clouds
151,New Norfolk,AU,-42.7826,147.0587,59.0,68,63,2.37,broken clouds
152,Kurilsk,RU,45.2333,147.8833,17.42,91,100,12.28,overcast clouds
153,Tazovskiy,RU,67.4667,78.7,-42.05,78,6,4.9,clear sky
154,Shingu,JP,33.7333,135.9833,52.32,89,100,10.11,moderate rain
155,Viadana,IT,44.9333,10.5333,48.2,76,20,6.91,few clouds
156,Sanger,US,36.708,-119.556,44.6,100,90,3.44,moderate rain
157,Anadyr,RU,64.75,177.4833,-14.01,76,0,8.95,clear sky
158,Banda Aceh,ID,5.5577,95.3222,77.59,81,41,9.19,scattered clouds
159,Nouadhibou,MR,20.931,-17.0347,84.2,15,100,8.05,overcast clouds
160,Namanyere,TZ,-7.5167,31.05,65.93,93,61,2.46,light rain
161,Cidreira,BR,-30.1811,-50.2056,78.53,72,1,10.65,clear sky
162,La Suiza,CR,9.8524,-83.6133,75.2,53,0,16.11,clear sky
163,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,1,16.11,snow
164,Khatanga,RU,71.9667,102.5,-28.71,83,100,12.44,overcast clouds
165,Tasiilaq,GL,65.6145,-37.6368,15.8,45,1,1.14,clear sky
166,Kommunar,RU,59.6206,30.39,35.01,93,90,6.71,overcast clouds
167,Urbano Santos,BR,-3.2078,-43.4036,88.45,61,68,4.85,light rain
168,Wasilla,US,61.5814,-149.4394,35.6,51,1,20.71,clear sky
169,Ribeira Grande,PT,38.5167,-28.7,64.4,88,40,10.36,light rain
170,Vostok,RU,46.4856,135.8833,1.13,89,71,5.06,broken clouds
171,Rudbar,AF,30.15,62.6,40.71,47,0,4.5,clear sky
172,Havre-Saint-Pierre,CA,50.2334,-63.5986,17.6,93,90,17.27,light snow
173,Vardo,NO,70.3705,31.1107,17.6,100,20,31.07,snow
174,Faanui,PF,-16.4833,-151.75,80.38,71,37,11.92,scattered clouds
175,East London,ZA,-33.0153,27.9116,71.6,88,75,26.46,broken clouds
176,Itarantim,BR,-15.6597,-40.0656,83.97,51,83,8.21,broken clouds
177,Kupang,ID,-10.1667,123.5833,80.85,79,78,5.03,light rain
178,Guerrero Negro,MX,27.9769,-114.0611,61.09,67,76,3.4,broken clouds
179,Waipawa,NZ,-41.4122,175.5153,64.4,82,75,17.27,broken clouds
180,Labuhan,ID,-6.8844,112.2051,79.27,83,100,6.04,overcast clouds
181,Palmer,US,42.1584,-72.3287,27.0,52,13,5.01,few clouds
182,Centralia,US,46.7162,-122.9543,28.0,100,90,1.45,mist
183,North Bend,US,43.4065,-124.2243,36.0,100,1,6.91,clear sky
184,Brenham,US,30.1669,-96.3977,57.2,100,90,4.61,overcast clouds
185,Manta,EC,-0.95,-80.7333,80.6,78,75,5.75,broken clouds
186,Balabac,PH,7.9868,117.0645,79.65,84,5,10.38,clear sky
187,Mattru,SL,7.6244,-11.8332,96.55,27,0,0.92,clear sky
188,Karangasem,ID,-8.45,115.6167,78.8,89,20,4.61,few clouds
189,Bac Lieu,VN,9.285,105.7244,76.06,82,51,11.43,broken clouds
190,Sistranda,NO,63.7256,8.834,35.6,100,75,10.36,light rain
191,Talnakh,RU,69.4865,88.3972,-35.55,67,39,0.69,scattered clouds
192,Howard Springs,AU,-12.497,131.047,77.0,94,90,3.44,light rain
193,Ugoofaaru,MV,5.6667,73.0,83.14,69,48,9.64,scattered clouds
194,Bredasdorp,ZA,-34.5322,20.0403,75.2,53,0,27.63,clear sky
195,Henties Bay,NA,-22.116,14.2845,68.22,87,99,7.29,overcast clouds
196,Fort Nelson,CA,58.8053,-122.7002,1.4,85,90,8.05,light snow
197,Vanavara,RU,60.34,102.2797,-36.35,82,100,1.59,overcast clouds
198,Isangel,VU,-19.55,169.2667,77.5,87,100,8.99,overcast clouds
199,Akyab,MM,20.15,92.9,68.22,56,0,13.62,clear sky
200,Gat,IL,31.61,34.7642,59.0,59,0,3.06,clear sky
201,Verdun,FR,49.25,5.3333,37.99,93,100,1.99,overcast clouds
202,Asfi,MA,32.2994,-9.2372,62.98,65,49,13.62,scattered clouds
203,Saint-Georges,GD,12.0564,-61.7485,86.0,62,20,24.16,few clouds
204,Tarasovskiy,RU,48.7292,40.3636,34.88,88,98,12.17,snow
205,Impfondo,CG,1.6381,18.0667,93.88,23,77,0.98,broken clouds
206,Los Alamos,US,35.8881,-106.307,39.0,80,90,3.44,overcast clouds
207,Muros,ES,42.7762,-9.0603,57.99,83,100,8.01,overcast clouds
208,Yumen,CN,40.2833,97.2,21.7,81,27,10.74,scattered clouds
209,Nome,US,64.5011,-165.4064,33.8,86,90,5.75,snow
210,Richards Bay,ZA,-28.783,32.0377,81.66,74,0,14.9,clear sky
211,Koupela,BF,12.1794,-0.3517,92.14,10,63,10.47,broken clouds
212,Hanzhong,CN,33.0728,107.0303,48.15,51,93,2.3,overcast clouds
213,Bagaces,CR,10.5271,-85.2548,87.8,51,0,18.41,clear sky
214,Aklavik,CA,68.2191,-135.0107,-0.4,78,90,9.22,light snow
215,Dolinsk,RU,47.35,142.8,-11.2,77,19,7.74,snow
216,Jalu,LY,29.0331,21.5482,51.73,44,0,2.51,clear sky
217,Tromso,NO,69.6496,18.957,15.8,57,40,3.44,scattered clouds
218,Port Blair,IN,11.6667,92.75,77.61,66,0,8.48,clear sky
219,Port Lincoln,AU,-34.7333,135.8667,78.58,40,97,13.02,overcast clouds
220,Caruray,PH,10.3094,119.0128,77.0,94,20,6.91,few clouds
221,Tigre,AR,-34.426,-58.5796,91.0,58,0,8.05,clear sky
222,Amahai,ID,-3.3333,128.9167,84.99,81,86,4.99,overcast clouds
223,Aykhal,RU,66.0,111.5,-39.12,79,42,3.83,scattered clouds
224,Tangping,CN,22.0265,111.9323,63.39,73,1,0.72,clear sky
225,Eirunepe,BR,-6.6603,-69.8736,79.86,78,99,3.24,overcast clouds
226,Lagoa,PT,39.05,-27.9833,61.83,84,100,16.44,overcast clouds
227,Marsa Matruh,EG,31.3525,27.2453,60.8,55,20,5.75,few clouds
228,Zhigansk,RU,66.7697,123.3711,-53.37,71,51,3.6,broken clouds
229,Wewak,PG,-3.5534,143.6268,80.29,73,54,6.13,broken clouds
230,Upernavik,GL,72.7868,-56.1549,22.01,79,95,6.85,overcast clouds
231,Verkhnevilyuysk,RU,63.4453,120.3167,-55.75,61,78,3.62,broken clouds
232,Yeppoon,AU,-23.1333,150.7333,73.4,68,0,5.75,clear sky
233,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,79.56,85,99,3.6,light rain
234,Port Macquarie,AU,-31.4333,152.9167,64.0,98,3,10.69,clear sky
235,Zapolyarnyy,RU,69.4154,30.8136,6.8,72,75,13.8,light snow
236,Clyde River,CA,70.4692,-68.5914,-5.8,84,40,4.61,scattered clouds
237,Poum,NC,-20.2333,164.0167,79.23,78,100,10.16,overcast clouds
238,Pampa,US,35.5362,-100.9599,41.0,87,90,20.71,overcast clouds
